State,District,sector,export_usd,export_inr,avg_pci,eci
ANDHRA PRADESH,CHITTOOR,footwear,2132,179874,-0.9932943818815556,0.0623520068448328
ANDHRA PRADESH,EAST GODAVARI,footwear,3582,298782,-0.9932943818815556,-0.3449114943712975
ANDHRA PRADESH,GUNTUR,footwear,3851,326863,-0.910032280279763,-0.9620390838730972
ANDHRA PRADESH,KRISHNA,footwear,10576,912295,-0.9932943818815556,0.0561678974438416
ANDHRA PRADESH,SPSR NELLORE,footwear,174409861,14754554836,-1.025694526075858,-0.1061269467905504
ANDHRA PRADESH,UNSPECIFIED,footwear,1840981,154525984,-1.0363874671960056,-0.4219230361370081
ANDHRA PRADESH,VISAKHAPATANAM,footwear,24335,2069794,-0.8386376489749842,-0.0463641158258687
ASSAM,BAKSA,footwear,45888,3886975,-0.9339322555536653,-0.0001445082563627
ASSAM,KAMRUP METRO,footwear,9458,811095,-0.9932943818815555,0.0992653078885537
BIHAR,ARARIA,footwear,46542,3921603,-0.7927762754965451,-0.2999732218240679
BIHAR,NALANDA,footwear,30691,2561819,-0.6306828622119328,
BIHAR,PATNA,footwear,23539,2023577,-0.7100914387796116,0.1826043732956222
BIHAR,PURBI CHAMPARAN,footwear,820565,69309979,-0.857117276957815,-0.2746862987047244
BIHAR,SITAMARHI,footwear,2696,229534,-0.9100322802797631,-0.5986157604199571
BIHAR,VAISHALI,footwear,853643,72180816,-0.6650347377139666,0.1528084996045952
CHANDIGARH,CHANDIGARH,footwear,7758,649257,-0.9815736031195759,0.4793114084716205
CHHATTISGARH,KORBA,footwear,5267,439235,-0.8570285168651209,-0.2474619274817284
CHHATTISGARH,RAIPUR,footwear,10342,871420,-0.9932943818815556,-0.2113202430314011
DELHI,CENTRAL,footwear,2248454,189502741,-1.2658191046255731,0.1611949992022413
DELHI,EAST,footwear,665944,57042532,-1.0272686983694137,0.0257627549658056
DELHI,NEW DELHI,footwear,31592113,2673937130,-1.1129963239674154,0.1463742811631497
DELHI,NORTH,footwear,1317304,111694171,-0.9415024491229987,0.2033447832606612
DELHI,NORTH EAST,footwear,101410,8599628,-1.135229082845643,0.0439901364677104
DELHI,NORTH WEST,footwear,3358955,286022967,-1.1363060833900027,0.1659749131902959
DELHI,SHAHDARA,footwear,99716,8355495,-0.9110133963432042,0.0967790027931373
DELHI,SOUTH,footwear,2461570,208624254,-0.9745768830616379,0.1020149067809984
DELHI,SOUTH EAST,footwear,612071,52787068,-0.6336800119144193,0.1289029501287719
DELHI,SOUTH WEST,footwear,422762,35405716,-0.9853294897963507,0.4726720277513417
DELHI,UNSPECIFIED,footwear,19206,1605422,-0.9495965029564165,-0.4219230361370081
DELHI,WEST,footwear,9566601,813445681,-1.101512188908558,0.1501424073349554
GOA,SOUTH GOA,footwear,32706,2741164,-0.910032280279763,0.2746663627653802
GUJARAT,AHMADABAD,footwear,3360256,284335818,-1.138224777411162,0.159427009839546
GUJARAT,ANAND,footwear,12923,1099371,-0.910032280279763,-0.1064698426817293
GUJARAT,BANAS KANTHA,footwear,5772,485319,-0.8881861345480524,-0.5204888189718198
GUJARAT,BHARUCH,footwear,9727,835347,-0.9932943818815556,0.454704745469305
GUJARAT,GANDHINAGAR,footwear,24826,2100839,-1.191648189854742,0.1475228918871846
GUJARAT,JAMNAGAR,footwear,20358,1711351,-1.2296239136042317,0.0928656929460463
GUJARAT,KACHCHH,footwear,11609440,982274528,-1.2604117631530494,-0.17709514013271
GUJARAT,KHEDA,footwear,2330,197161,-1.3610947493465997,-0.3329747599610894
GUJARAT,MAHESANA,footwear,6597,569057,-0.8570285168651209,-0.213074115872049
GUJARAT,MORBI,footwear,171727,14540684,-1.0560306996406186,0.002385574338158
GUJARAT,NAVSARI,footwear,44378,3764283,-1.323963907172956,0.1413141644160692
GUJARAT,PANCH MAHALS,footwear,1445,120957,-0.953050989842792,0.268589598686799
GUJARAT,RAJKOT,footwear,239584,20289367,-1.0128760552375347,0.0818305135568881
GUJARAT,SURAT,footwear,4985086,421973397,-1.2776161796099863,0.0876008273665225
GUJARAT,SURENDRANAGAR,footwear,347902,29292126,-0.9468069216156274,0.0418536476104307
GUJARAT,VADODARA,footwear,1080491,91022201,-1.275896518731244,0.4615671798054127
